#  Time[s]  	           depth 	      velocity_x 	      velocity_y 	             wse 	       z_element 	
0 	               0 	               0 	               0 	               0 	               0
0.01 	               0 	               0 	               0 	               0 	               0
0.02 	               0 	               0 	               0 	               0 	               0
0.03 	               0 	               0 	               0 	               0 	               0
0.04 	               0 	               0 	               0 	               0 	               0
0.05 	               0 	               0 	               0 	               0 	               0
0.06 	   1.2320074e-05 	               0 	               0 	   1.2320074e-05 	               0
0.07 	   6.8229522e-05 	               0 	               0 	   6.8229522e-05 	               0
0.08 	   0.00031735522 	      0.60625866 	     0.016544597 	   0.00031735522 	               0
0.09 	    0.0009482222 	      0.68137232 	     0.011487331 	    0.0009482222 	               0
0.1 	    0.0021814993 	       0.8779509 	    0.0065852552 	    0.0021814993 	               0
0.11 	    0.0041415631 	       1.0293258 	   0.00099460485 	    0.0041415631 	               0
0.12 	    0.0068264477 	       1.1431764 	   -0.0034022998 	    0.0068264477 	               0
0.13 	     0.010152711 	       1.2320185 	   -0.0057737603 	     0.010152711 	               0
0.14 	       0.0139665 	       1.3024565 	   -0.0058809473 	       0.0139665 	               0
0.15 	     0.018098095 	       1.3588052 	   -0.0039879232 	     0.018098095 	               0
0.16 	     0.022396497 	        1.404117 	  -0.00066610202 	     0.022396497 	               0
0.17 	     0.026742612 	       1.4403734 	     0.003294921 	     0.026742612 	               0
0.18 	     0.031055274 	       1.4693871 	    0.0071943238 	     0.031055274 	               0
0.19 	     0.035278492 	       1.4924642 	     0.010428806 	     0.035278492 	               0
0.2001 	     0.039412906 	       1.5107799 	     0.012593906 	     0.039412906 	               0
0.21 	     0.043309265 	       1.5246357 	     0.013444868 	     0.043309265 	               0
0.22 	     0.047064095 	       1.5350979 	     0.013022604 	     0.047064095 	               0
0.23 	     0.050613038 	       1.5424352 	     0.011448164 	     0.050613038 	               0
0.24 	     0.053933738 	       1.5469745 	    0.0089695579 	     0.053933738 	               0
0.2501 	     0.057034378 	       1.5489809 	    0.0058569965 	     0.057034378 	               0
0.26 	     0.059812718 	       1.5486857 	    0.0025282183 	     0.059812718 	               0
0.27 	     0.062350283 	       1.5463689 	  -0.00083065355 	     0.062350283 	               0
0.28 	     0.064617017 	       1.5422702 	   -0.0039657587 	     0.064617017 	               0
0.29 	     0.066622629 	       1.5366618 	   -0.0067221041 	     0.066622629 	               0
0.3001 	     0.068400422 	       1.5297428 	   -0.0090337276 	     0.068400422 	               0
0.31 	     0.069926229 	       1.5220176 	    -0.010820643 	     0.069926229 	               0
0.32 	     0.071278327 	       1.5135325 	    -0.012175812 	     0.071278327 	               0
0.33 	     0.072468668 	       1.5045948 	    -0.013139002 	     0.072468668 	               0
0.34 	     0.073526494 	        1.495418 	    -0.013789405 	     0.073526494 	               0
0.3501 	     0.074487809 	       1.4860895 	    -0.014213894 	     0.074487809 	               0
0.36 	     0.075350208 	       1.4770337 	    -0.014483437 	     0.075350208 	               0
0.37 	     0.076162073 	       1.4680904 	     -0.01467819 	     0.076162073 	               0
0.38 	     0.076930863 	       1.4594369 	     -0.01485002 	     0.076930863 	               0
0.39 	     0.077669589 	       1.4511315 	    -0.015039532 	     0.077669589 	               0
0.4001 	     0.078394374 	       1.4431299 	    -0.015275067 	     0.078394374 	               0
0.41 	     0.079089558 	       1.4356718 	      -0.0155608 	     0.079089558 	               0
